ShowID,Artist,ShowDate,EventOrFestival,VenueName,City,Country,RecordingType,Generation,Lineage,SourceEquipment,FolderName,FolderPath,MasterDriveName,MasterDriveID,RepVideoCount,RepVideoFiles,Container,VideoCodec,Width,Height,DurationSec,AspectRatio,TVStandard,AudioCodec,AudioChannels,AudioSampleRate,FileCount,TotalSizeBytes,TotalSizeHuman,ChecksumSHA1,DuplicateOf,Setlist,Notes,LastScannedAt,ExtractionWarnings
5c5c875f33e6,Creed,,,Creed,Woodstock 1999 + KROCK DFP4 2000,,,,,,Creed - Woodstock 1999 + KROCK DFP4 2000,/Volumes/Untitled/DVDs/Creed - Woodstock 1999 + KROCK DFP4 2000,Untitled,e577ee538fcd,1,VTS_01_1.VOB,.vob,mpeg2video,720,480,1563,4:3 (native),NTSC,mp2,2,48000,11,4356896768,4.06 GB,88deac7c8952d0d379061283e696be2ba24b5ddc,,,,2025-11-06 12:26:09,loc:folder
c16086db2714,Crowded House,2009-08-02,,Neil Finn,Close Up 2009,,Proshot,,,,Neil Finn - Close Up 2009,/Volumes/Untitled/DVDs/Neil Finn - Close Up 2009,Untitled,e577ee538fcd,1,VIDEO_TS/VTS_01_1.VOB,.vob,mpeg2video,720,576,12,16:9 (native),PAL,ac3,2,48000,8,609004522,580.79 MB,a83ee8642938ea74256a8a3fd38b3d8deb5fa6c9,,,"---- neilfinn.txt ----
Neil Finn & Friends Interview

08/02/2009 (Broadcast Date)
TVNZ1's Sunday - ""All In The Family""

A short interview with Neil Finn and his family introducing the new 7 Worlds Collide album titled 'The Sun Came Out'. Featuring clips of band members from Radiohead, Wilco, Bic Runga, Crowded House, KT Tunstall and Liam Finn. 

========================
Setlist:
========================

Interview and clips (8 mins 43 secs)

========================
Technical Information:
========================

***PROSHOT INTERVIEW***

Duration: 0:08:43
Data Size: 580.67 MB
Bit Rate: 9.31 Mbps

Video Tracks:
224 MPEG-2, 720 x 576, 16:9, 25 fps, 9.28 Mbps, upper field first

Audio Tracks:
128 AC3 2/0, 48 kHz, 384 kbps

Stream Files:
VTS_01_1.VOB (580.67 MB)


Screenshot here:

XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX

Trades welcome:

http://db.etree.org/karlolsen",2025-11-06 17:33:15,loc:folder
d627ba6ce684,Crowded House,,,Crowded House,20080628,Glastonbury,Proshot,,Sky+Box > Panasonic DMRHS2 DVDRAM > TMPGENC DVD Author (for chaptering & Menus),Panasonic DMRHS2 DVDRAM > TMPGENC DVD Author (for chaptering & Menus),Crowded House - 20080628 - Glastonbury - BBCiDVD,/Volumes/Untitled/DVDs/Crowded House - 20080628 - Glastonbury - BBCiDVD,Untitled,e577ee538fcd,2,VIDEO_TS/VTS_02_1.VOB; VIDEO_TS/VTS_02_2.VOB,.vob,mpeg2video,720,480,513,4:3 (native),NTSC,ac3,2,48000,16,2707061695,2.52 GB,47d7631131ab7f46d485939027c380f8a7d46c79,,Mean To Me; Four Seasons In One Day; Not Even Close; Show A Little Mercy; Chocolate Cake; Throw Your Arms Around Me,"---- Crowded House - MTV Unplugged, Los Angeles, CA 30th March 1990/notes.txt ----
Crowded House - MTV Unplugged, Los Angeles, CA 30th March 1990

Setlist:

Mean To Me
Four Seasons In One Day
Not Even Close
Show A Little Mercy
Chocolate Cake
Throw Your Arms Around Me

Video Attributes:
  Video compression mode: MPEG-2
  TV system: 525/60 (NTSC)
  Aspect Ratio: 4:3
  Display Mode: Only Letterbox
  Source picture resolution: 720x480 (525/60)
  Frame Rate: 30.00
  Source picture letterboxed: Not letterboxed
  Bitrate: 6.47Mbps

Audio Attributes: 
  Audio Coding mode: Dolby Digital
  Sampling Rate: 48kHz
  Audio application mode: Not specified
  Number of Audio channels: 3
  Number of Audio streams: 1

---- Info.txt ----
Crowded House - Glastonbury 28 June 2008

Taken from the BBCi Loop, broadcast quality.
Lineage : Sky+Box > Panasonic DMRHS2 DVDRAM > TMPGENC DVD Author (for chaptering & Menus)

1. Fall at Your Feet
2. It's Only Natural
3. Don't Dream it's Over
4. Locked Out
5. Distant Sun
6. Weather With You

Includes some funny interaction between the band and Security people.",2025-11-06 12:26:52,loc:folder
e70638d7629f,Deep Purple,,,Deep Purple,Live 1985,,,,,,Deep Purple - Live 1985,/Volumes/Untitled/DVDs/Deep Purple - Live 1985,Untitled,e577ee538fcd,1,VTS_01_1.VOB,.vob,mpeg2video,720,576,1483,4:3 (native),PAL,ac3,5,48000,11,4582158336,4.27 GB,5762f8fe3089036ac568285ee11ab6de1e04602b,,,,2025-11-06 12:28:52,loc:folder
17c671d16ec0,Deftones,,,Incubus + Deftones,Musique Plus,11,,,,,Incubus + Deftones - Musique Plus - 11-14-2000 (Peter),/Volumes/Untitled/DVDs/Incubus + Deftones - Musique Plus - 11-14-2000 (Peter),Untitled,e577ee538fcd,4,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB; VIDEO_TS/VTS_01_4.VOB,.vob,mpeg2video,720,480,10,4:3 (native),NTSC,ac3,2,48000,9,4269711360,3.98 GB,9b7a84fdc32c3308ddbb72be1fd7bc709c614e20,,,,2025-11-06 14:20:16,loc:folder
8952d87adb8e,Deftones,,,Incubus + Deftones,MusiquePlus 2000,,,,,,Incubus + Deftones - MusiquePlus 2000,/Volumes/Untitled/DVDs/Incubus + Deftones - MusiquePlus 2000,Untitled,e577ee538fcd,1,VTS_01_1.VOB,.vob,mpeg2video,720,480,1143,4:3 (native),NTSC,mp2,2,48000,14,4272996352,3.98 GB,d45fa35bca2c8a6ddb505b3330613b88e22bd502,,,,2025-11-06 14:23:25,loc:folder
b3cc487d20aa,Dire Straits,1979-02-16,DVD Title..................: Dire Straits,Venue......................: WDR Studio L,K�ln/Cologne,Germany,Proshot,,,,Dire Straits - Rockpalast,/Volumes/Untitled/DVDs/Dire Straits - Rockpalast,Untitled,e577ee538fcd,4,VIDEO_TS/VTS_03_0.VOB; VIDEO_TS/VTS_03_1.VOB; VIDEO_TS/VTS_03_2.VOB; VIDEO_TS/VTS_03_3.VOB,.vob,mpeg2video,720,576,5120,4:3 (native),PAL,mp2,2,48000,27,4648143421,4.33 GB,9231bfdca757259f66c80d6df8b78cc3aeab3e5c,,this is the best you can get; FULL DIGITAL RECORDING & NOT RE-ENCODED; Streamclip 1.8 / DVD Studio Pro 4; Down To The Waterline; Six Blade Knife; Once Upon A Time In The West; Lady Writer; Single Handed Sailor; Water Of Love; In The Gallery; Follow Me Home; News; Lions; Sultans Of Swing; Wild West End; Eastbound Train; Ferienrock,"---- General Info.txt ----
This FULL DIGITAL RECORDING & NOT RE-ENCODED torrent comes from a RE-BROADCAST (APRIL 27/28, 2007) and is an upgrade from the DVD reception in http://www.dimeadozen.org/torrents-details.php?id=139328


Forget the ""Solid Rock"" 5.1 Mono Surround DVD
this is the best you can get



General Information:


FULL DIGITAL RECORDING & NOT RE-ENCODED

LINEAGE....................: Cable Digital / Topfield 5200 PVR-C / MPEG
Streamclip 1.8 / DVD Studio Pro 4


Artwork Previews:
http://www.cologneshark.com/rw/artworkpreviews.html
http://www.cologneshark.com/


Movie Information:

NOTE.......................: FULL DIGITAL RECORDING & NOT RE-ENCODED !!!
DVD Title..................: Dire Straits - Rockpalast
Date Of The Show...........: February 16, 1979
Recording Date.............: April 28/29, 2007
Venue......................: WDR Studio L, K�ln/Cologne, Germany
Festival...................: Rockpalast
TV - Station...............: 1Festival (Germany)
Video Format...............: DVD
Posting Format.............: DVD-5
Lineage....................: Cable Digital / Topfield 5200 PVR-C / MPEG
Streamclip 1.8 / DVD Studio Pro 4
DVD Menu Sound.............: Has Animated Menus, Chapter & MONO Sound
DVD Menu...................: Photoshop CS2 & Apple's DVD Studio Pro 4.0
Audio Format...............: MONO (MP2 2.0 / 48kHz / 192 kBit/s)
Video Format...............: MPEG 2
Resolution.................: 720 x 576 / PAL / 50 Hz / Color
Frames Per Second..........: 25
Aspect Ratio...............: 4:3 - 1.33:1 - Full Frame
Approx Running Time........: ROCKPALAST: 1:24:43:03 Minutes
                             BONUS: 35:52:06 Minutes
Variable Bitrate...........: ROCKPALAST: 4,499,517 kbps
                             BONUS: 5,331,056 kbps


Artwork....................: Hi Resolution Artwork Inside

01. Down To The Waterline
02. Six Blade Knife
03. Once Upon A Time In The West
04. Lady Writer
05. Single Handed Sailor
06. Water Of Love
07. In The Gallery
08. Follow Me Home
09. News
10. What's The Matter, Baby?
11. Lions
12. Sultans Of Swing
13. Wild West End
14. Where Do You Think You're Going?
15. Eastbound Train
16. Sultans Of Swing (Reprise)

BONUS:
17. Ferienrock

Musicans...................:
Mark Knopfler: Guitar, Vocals
David Knopfler: Guitar, Vocals
John Illsley: Bass, Vocals
Pick Withers: Drums",2025-11-06 12:29:41,loc:comma; evt:eventline
8b91391966b0,DVDs,2008-06-29,,St Austell,Cornwall,England,Proshot,,Digital Satellite Broadcast>Sky+ HDHard Drive>Sony DVD Recorder (1 hour mode)>,Sony DVD Recorder (1 hour mode)>,Raconteurs 2008-06-29 Eden Session PAL DVD,/Volumes/Untitled/DVDs/Raconteurs 2008-06-29 Eden Session PAL DVD,Untitled,e577ee538fcd,4,VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB; VIDEO_TS/VTS_01_4.VOB,.vob,mpeg2video,720,576,3004,16:9 (native),PAL,ac3,2,48000,11,3661147841,3.41 GB,b48ccf333ebf984eefba2828ca5b2b90f7b34bfb,,Raconteurs; Eden Session; Eden Project; Bodelva; St Austell; Cornwall; England; This DVD from broadcast on MTV HD in about May/June 2009; Consoler Of The Lonely; Level; The Switch and the Spur; Steady As She Goes; Ramblin' Man; Blue Veins; Attention; Many Shades of Black; Salute Your Solution; Carolina Drama; of noise at the base of the picture in the bottom couple of lines of the picture which is a bit distracting if you watch it,"---- Raconteurs 2008-06-29 Eden Session PAL DVD.txt ----
Raconteurs
Eden Session
Eden Project
Bodelva
St Austell
Cornwall
England
29th June 2008

This DVD from broadcast on MTV HD in about May/June 2009.

16:9 PAL DVD

1. Consoler Of The Lonely
2. Level
3. The Switch and the Spur
4. Steady As She Goes
5. Ramblin' Man
6. Blue Veins
7. Attention
8. Many Shades of Black
9. Salute Your Solution
10.Carolina Drama

Lineage:  Digital Satellite Broadcast>Sky+ HDHard Drive>Sony DVD Recorder (1 hour mode)>
DVD Patcher_V106 (alter aspect ratio 4:3 to 16:9, no re-encoding)>
Womble MPEG Video Wizard (Edit out adverts and author basic DVD)

Notes:

No menu, chapter marks at the beginning of each track.

This was recorded onto Sky+ HD by my brother-in-law and I dumped it onto DVD when I visited him in July.  There is small bit 
of noise at the base of the picture in the bottom couple of lines of the picture which is a bit distracting if you watch it 
on a 4:3 screen with a letterbox - its worse for the first 5 or so minutes, then is barely noticeable.  I don't know
what caused this, but when I had another go at transferring it last weekend I got the same thing, so maybe it was present 
on the broadcast.  It does not show up when played back onto my 16:9 40"" TV or my brother-in-law's 16:9 32"" TV.",2025-11-06 19:03:52,loc:stack
fd25ce57bc34,DVDs,2009-06-28,---- Bruce Springsteen,Bruce Springsteen,Glastonbury June 27th 2009 DVD,,Proshot,,DVB-T > Mpeg - Hard Drive > TMPGEnc DVD Author 3 > Video TS,,Bruce Springsteen - Glastonbury June 27th 2009 DVD,/Volumes/Untitled/DVDs/Bruce Springsteen - Glastonbury June 27th 2009 DVD,Untitled,e577ee538fcd,4,VIDEO_TS/VTS_01_0.VOB; VIDEO_TS/VTS_01_1.VOB; VIDEO_TS/VTS_01_2.VOB; VIDEO_TS/VTS_01_3.VOB,.vob,mpeg2video,720,576,5057,16:9 (native),PAL,mp2,2,48000,14,2738700926,2.55 GB,8694c73777522dc03f6a0386f1846886b428cc6c,,Bruce Springsteen; Glastonbury Festival; Worthy Farm; Pilton; June 27th 2009; BBC 2 Broadcast; BADLANDS; PROVE IT ALL NIGHT; OUTLAW PETE; OUT IN THE STREET; WORKING ON A DREAM; WAITING ON A SUNNY DAY; PROMISED LAND; THE RIVER; BORN TO RUN; THUNDER ROAD; AMERICAN LAND; GLORY DAYS; DANCING IN THE DARK,"---- Bruce Springsteen - Glastonbury Festival June 27th 2009 DVD_Info.txt ----
BRUCE SPRINGSTEEN - Glastonbury Festival June 27th 2009 ""DVD""

Bruce Springsteen
Glastonbury Festival
Worthy Farm
Pilton
June 27th 2009

BBC 2 Broadcast

SOURCE: DVB-T > Mpeg - Hard Drive > TMPGEnc DVD Author 3 > Video TS

PLAYING TIME: 84:20

VIDEO: Mpeg-2, PAL, 16x9, 720x576, 25fps, 4642 Kb/s
AUDIO: Mpeg-1 Layer 2, 48000 Hz, Stereo, 256 kb/s

01. BADLANDS
02. PROVE IT ALL NIGHT
03. OUTLAW PETE
04. OUT IN THE STREET
05. WORKING ON A DREAM
06. WAITING ON A SUNNY DAY
07. PROMISED LAND
08. THE RIVER
09. BORN TO RUN
10. THUNDER ROAD
11. AMERICAN LAND
12. GLORY DAYS
13. DANCING IN THE DARK

Menu & Chapters

Capture & Authoring, JTT

---- Bruce Springsteen - Glastonbury June 27th 2009 DVD.txt ----
# MD5 checksums generated by MD5summer (http://www.md5summer.org)
# Generated 28/06/2009 02:07:00

4c9abc36ae787ff03dade2ed2fd77d3f *VIDEO_TS/VIDEO_TS.BUP
4c9abc36ae787ff03dade2ed2fd77d3f *VIDEO_TS/VIDEO_TS.IFO
2671f7d67c89ec1bcdee6bede3618c15 *VIDEO_TS/VIDEO_TS.VOB
49433e2236c491e69900c2ceeddb2e58 *VIDEO_TS/VTS_01_0.BUP
49433e2236c491e69900c2ceeddb2e58 *VIDEO_TS/VTS_01_0.IFO
f386269f72bd46c008e8812bb9a88125 *VIDEO_TS/VTS_01_0.VOB
4e0d08b61b99dc98079aabbbbbf1409e *VIDEO_TS/VTS_01_1.VOB
30238900c8e0cd1cf8d15760ac274f37 *VIDEO_TS/VTS_01_2.VOB
e8145ca0a8fe92b732879e51ec14c6ad *VIDEO_TS/VTS_01_3.VOB
7260e606dc2f452126ade7474a8af326 *Bruce Springsteen - Glastonbury Festival June 27th 2009 DVD_Info.txt",2025-11-06 11:38:33,loc:folder; evt:eventline
2539188999d0,DVDs,,,Ben Harper,Sessions West 54th + Austin City Limits,,,,,,Ben Harper - Sessions West 54th + Austin City Limits,/Volumes/Untitled/DVDs/Ben Harper - Sessions West 54th + Austin City Limits,Untitled,e577ee538fcd,4,VIDEO_TS/VTS_02_0.VOB; VIDEO_TS/VTS_02_1.VOB; VIDEO_TS/VTS_02_2.VOB; VIDEO_TS/VTS_02_3.VOB,.vob,mpeg2video,720,480,3304,4:3 (native),NTSC,ac3,2,48000,14,4154030080,3.87 GB,bea16fb4534ca22fb8cc9df5076bfd6248bce738,,,,2025-11-06 11:17:55,loc:folder
